Geração,Iteração,Fitness
12,18,103.951,duplicate,
12,19,103.951,duplicate,
12,20,103.951,duplicate,
12,21,113.862,duplicate,
12,22,113.862,duplicate,
12,23,103.951,duplicate,
12,24,154.117
12,25,129.097
12,26,137.847
12,27,122.529
12,28,159.489
12,29,153.964
12,30,138.352
12,31,129.972
13,0,103.951
13,1,103.951,duplicate,
13,2,103.951,duplicate,
13,3,103.951,duplicate,
13,4,103.951,duplicate,
13,5,103.951,duplicate,
13,6,103.951,duplicate,
13,7,103.951,duplicate,
13,8,103.951,duplicate,
13,9,103.951,duplicate,
13,10,103.951,duplicate,
13,11,103.951,duplicate,
13,12,103.951,duplicate,
13,13,103.951,duplicate,
13,14,103.951,duplicate,
13,15,103.951,duplicate,
13,16,103.951,duplicate,
13,17,103.951,duplicate,
13,18,103.951,duplicate,
13,19,103.951,duplicate,
13,20,103.951,duplicate,
13,21,103.951,duplicate,
13,22,103.951,duplicate,
13,23,103.951,duplicate,
13,24,131.493
13,25,165.853
13,26,105.277
13,27,135.462
13,28,122.963
13,29,180.247
13,30,212.799
13,31,167.868
14,0,103.951
14,1,103.951,duplicate,
14,2,103.951,duplicate,
14,3,103.951,duplicate,
14,4,103.951,duplicate,
14,5,103.951,duplicate,
14,6,103.951,duplicate,
14,7,103.951,duplicate,
14,8,103.951,duplicate,
14,9,103.951,duplicate,
14,10,103.951,duplicate,
14,11,103.951,duplicate,
14,12,103.951,duplicate,
14,13,103.951,duplicate,
14,14,103.951,duplicate,
14,15,103.951,duplicate,
14,16,103.951,duplicate,
14,17,103.951,duplicate,
14,18,103.951,duplicate,
14,19,103.951,duplicate,
14,20,103.951,duplicate,
14,21,103.951,duplicate,
14,22,103.951,duplicate,
14,23,103.951,duplicate,
14,24,137.338
14,25,152.992
14,26,146.244
14,27,178.003
14,28,156.754
14,29,151.134
14,30,149.077
14,31,111.248
15,0,103.951
15,1,103.951,duplicate,
15,2,103.951,duplicate,
15,3,103.951,duplicate,
15,4,103.951,duplicate,
15,5,103.951,duplicate,
15,6,103.951,duplicate,
15,7,103.951,duplicate,
15,8,103.951,duplicate,
15,9,103.951,duplicate,
15,10,103.951,duplicate,
15,11,103.951,duplicate,
15,12,103.951,duplicate,
15,13,103.951,duplicate,
15,14,103.951,duplicate,
15,15,103.951,duplicate,
15,16,103.951,duplicate,
15,17,103.951,duplicate,
15,18,103.951,duplicate,
15,19,103.951,duplicate,
15,20,103.951,duplicate,
15,21,103.951,duplicate,
15,22,103.951,duplicate,
15,23,103.951,duplicate,
15,24,209.901
15,25,96.6481
15,26,160.654
15,27,175.25
15,28,79.6406
15,29,130.908
15,30,148.856
15,31,185.917
16,0,106.59
16,1,103.951
16,2,103.951,duplicate,
16,3,103.951,duplicate,
16,4,103.951,duplicate,
16,5,103.951,duplicate,
16,6,103.951,duplicate,
16,7,79.6406
16,8,79.6406,duplicate,
16,9,115.229
16,10,103.951,duplicate,
16,11,103.951,duplicate,
16,12,103.951,duplicate,
16,13,103.951,duplicate,
16,14,103.951,duplicate,
16,15,91.8052
16,16,79.6406,duplicate,
16,17,115.229,duplicate,
16,18,103.951,duplicate,
16,19,103.951,duplicate,
16,20,103.951,duplicate,
16,21,103.951,duplicate,
16,22,103.951,duplicate,
16,23,90.6019
16,24,110.827
16,25,157.747
16,26,150.111
16,27,151.52
16,28,176.76
16,29,114.096
16,30,117.015
16,31,133.774
17,0,79.6406
17,1,79.6406,duplicate,
17,2,79.6406,duplicate,
17,3,103.951
17,4,91.8052
17,5,103.951,duplicate,
17,6,103.951,duplicate,
17,7,90.6019
17,8,79.6406,duplicate,
17,9,79.6406,duplicate,
17,10,79.6406,duplicate,
17,11,79.6406,duplicate,
17,12,91.8052,duplicate,
17,13,103.951,duplicate,
17,14,103.951,duplicate,
17,15,103.951,duplicate,
17,16,79.6406,duplicate,
17,17,79.6406,duplicate,
17,18,79.6406,duplicate,
17,19,103.951,duplicate,
17,20,91.8052,duplicate,
17,21,103.951,duplicate,
17,22,103.951,duplicate,
17,23,103.951,duplicate,
17,24,139.472
17,25,61.646
17,26,116.278
17,27,141.249
17,28,152.146
17,29,147.198
17,30,145.489
17,31,112.362
18,0,79.6406
18,1,79.6406,duplicate,
18,2,79.6406,duplicate,
18,3,79.6406,duplicate,
18,4,79.6406,duplicate,
18,5,79.6406,duplicate,
18,6,79.6406,duplicate,
18,7,61.646
18,8,79.6406,duplicate,
18,9,79.6406,duplicate,
18,10,79.6406,duplicate,
18,11,79.6406,duplicate,
18,12,79.6406,duplicate,
18,13,79.6406,duplicate,
18,14,79.6406,duplicate,
18,15,61.646,duplicate,
18,16,79.6406,duplicate,
18,17,79.6406,duplicate,
18,18,79.6406,duplicate,
18,19,79.6406,duplicate,
18,20,79.6406,duplicate,
18,21,79.6406,duplicate,
18,22,79.6406,duplicate,
18,23,61.646,duplicate,
18,24,104.938
18,25,131.149
18,26,115.494
18,27,75.5401
18,28,174.433
18,29,108.52
18,30,106.59
18,31,119.027
19,0,61.646
19,1,61.646,duplicate,
19,2,90.5041
19,3,67.5789
19,4,79.6406
19,5,79.6406,duplicate,
19,6,79.6406,duplicate,
19,7,79.6406,duplicate,
19,8,61.646,duplicate,
19,9,61.646,duplicate,
19,10,61.646,duplicate,
19,11,90.5041,duplicate,
19,12,79.6406,duplicate,
19,13,79.6406,duplicate,
19,14,79.6406,duplicate,
19,15,89.0645
19,16,61.646,duplicate,
19,17,61.646,duplicate,
19,18,67.5789,duplicate,
19,19,79.6406,duplicate,
19,20,79.6406,duplicate,
19,21,79.6406,duplicate,
19,22,79.6406,duplicate,
19,23,61.646,duplicate,
19,24,108.704
19,25,100.763
19,26,91.5698
19,27,107.341
19,28,131.338
19,29,122.657
19,30,60.3597
19,31,55.1993
20,0,60.3597
20,1,48.1345
20,2,61.646
20,3,61.646,duplicate,
20,4,61.646,duplicate,
20,5,61.646,duplicate,
20,6,61.646,duplicate,
20,7,61.646,duplicate,
20,8,75.4647
20,9,74.0145
20,10,61.646,duplicate,
20,11,61.646,duplicate,
20,12,61.646,duplicate,
20,13,61.646,duplicate,
20,14,61.646,duplicate,
20,15,61.646,duplicate,
20,16,75.4647,duplicate,
20,17,61.646,duplicate,
20,18,61.646,duplicate,
20,19,61.646,duplicate,
20,20,61.646,duplicate,
20,21,61.646,duplicate,
20,22,61.646,duplicate,
20,23,33.0777
20,24,96.0835
20,25,94.2963
20,26,67.0791
20,27,125.23
20,28,92.334
20,29,136.6
20,30,61.646,duplicate,
20,31,86.4178
21,0,17.9061
21,1,60.3597
21,2,61.646
21,3,61.646,duplicate,
21,4,61.646,duplicate,
21,5,61.646,duplicate,
21,6,61.646,duplicate,
21,7,33.0777
21,8,64.0641
21,9,48.1345
21,10,60.3597,duplicate,
21,11,61.646,duplicate,
21,12,61.646,duplicate,
21,13,61.646,duplicate,
21,14,61.646,duplicate,
21,15,61.646,duplicate,
21,16,48.1345,duplicate,
21,17,60.3597,duplicate,
21,18,48.1345,duplicate,
21,19,61.646,duplicate,
21,20,61.646,duplicate,
21,21,61.646,duplicate,
21,22,61.646,duplicate,
21,23,53.5496
21,24,96.3751
21,25,87.9983
21,26,138.241
21,27,97.1611
21,28,47.0511
21,29,107.844
21,30,118.051
21,31,115.425
22,0,17.9061
22,1,47.0511
22,2,48.1345
22,3,48.1345,duplicate,
22,4,48.1345,duplicate,
22,5,53.5496
22,6,60.3597
22,7,17.9061,duplicate,
22,8,17.9061,duplicate,
22,9,71.2382
22,10,32.6185
22,11,48.1345,duplicate,
22,12,48.1345,duplicate,
22,13,17.9061,duplicate,
22,14,60.3597,duplicate,
22,15,31.5982
22,16,17.9061,duplicate,
22,17,47.0511,duplicate,
22,18,66.1589
22,19,48.1345,duplicate,
22,20,48.1345,duplicate,
22,21,53.5496,duplicate,
22,22,67.1295
22,23,31.5982,duplicate,
22,24,64.2053
22,25,66.3124
22,26,71.1684
22,27,77.2114
22,28,75.7276
22,29,80.8777
22,30,44.1654
22,31,61.8426
23,0,17.9061
23,1,17.9061,duplicate,
23,2,17.9061,duplicate,
23,3,17.9061,duplicate,
23,4,31.5982
23,5,31.5982,duplicate,
23,6,32.6185
23,7,17.9061,duplicate,
23,8,17.9061,duplicate,
23,9,17.9061,duplicate,
23,10,17.9061,duplicate,
23,11,17.9061,duplicate,
23,12,17.9061,duplicate,
23,13,31.5982,duplicate,
23,14,31.5982,duplicate,
23,15,32.6185,duplicate,
23,16,17.9061,duplicate,
23,17,17.9061,duplicate,
23,18,17.9061,duplicate,
23,19,17.9061,duplicate,
23,20,17.9061,duplicate,
23,21,31.5982,duplicate,
23,22,32.6185,duplicate,
23,23,17.9061,duplicate,
23,24,42.2066
23,25,74.9078
23,26,67.4037
23,27,61.6878
23,28,97.719
23,29,83.6825
23,30,77.557
23,31,29.4363
24,0,17.9061
24,1,17.9061,duplicate,
24,2,17.9061,duplicate,
24,3,17.9061,duplicate,
24,4,17.9061,duplicate,
24,5,17.9061,duplicate,
24,6,17.9061,duplicate,
24,7,17.9061,duplicate,
24,8,17.9061,duplicate,
24,9,17.9061,duplicate,
24,10,17.9061,duplicate,
24,11,17.9061,duplicate,
24,12,17.9061,duplicate,
24,13,17.9061,duplicate,
24,14,17.9061,duplicate,
24,15,17.9061,duplicate,
24,16,17.9061,duplicate,
24,17,17.9061,duplicate,
24,18,17.9061,duplicate,
24,19,17.9061,duplicate,
24,20,17.9061,duplicate,
24,21,17.9061,duplicate,
24,22,17.9061,duplicate,
24,23,17.9061,duplicate,
24,24,73.415
24,25,44.1994
24,26,72.5726
24,27,42.3082
24,28,39.111
24,29,33.6255
24,30,107.007
24,31,75.8283
25,0,17.9061
25,1,17.9061,duplicate,
25,2,17.9061,duplicate,
25,3,17.9061,duplicate,
25,4,17.9061,duplicate,
25,5,17.9061,duplicate,
25,6,17.9061,duplicate,
25,7,17.9061,duplicate,
25,8,17.9061,duplicate,
25,9,17.9061,duplicate,
25,10,17.9061,duplicate,
25,11,17.9061,duplicate,
25,12,17.9061,duplicate,
25,13,17.9061,duplicate,
25,14,17.9061,duplicate,
25,15,17.9061,duplicate,
25,16,17.9061,duplicate,
25,17,17.9061,duplicate,
25,18,17.9061,duplicate,
25,19,17.9061,duplicate,
25,20,17.9061,duplicate,
25,21,17.9061,duplicate,
25,22,17.9061,duplicate,
25,23,17.9061,duplicate,
25,24,47.8908
25,25,86.1787
25,26,70.2064
25,27,61.0269
25,28,54.1299
25,29,48.2115
25,30,36.788
25,31,37.9626
26,0,17.9061
26,1,17.9061,duplicate,
26,2,17.9061,duplicate,
26,3,17.9061,duplicate,
26,4,17.9061,duplicate,
26,5,17.9061,duplicate,
26,6,17.9061,duplicate,
26,7,17.9061,duplicate,
26,8,17.9061,duplicate,
26,9,17.9061,duplicate,
26,10,17.9061,duplicate,
26,11,17.9061,duplicate,
26,12,17.9061,duplicate,
26,13,17.9061,duplicate,
26,14,17.9061,duplicate,
26,15,17.9061,duplicate,
26,16,17.9061,duplicate,
26,17,17.9061,duplicate,
26,18,17.9061,duplicate,
26,19,17.9061,duplicate,
26,20,17.9061,duplicate,
26,21,17.9061,duplicate,
26,22,17.9061,duplicate,
26,23,17.9061,duplicate,
26,24,65.0087
26,25,66.9144
26,26,48.6922
26,27,75.5637
26,28,71.6885
26,29,17.9061,duplicate,
26,30,73.1402
26,31,79.7869
27,0,17.9061
27,1,17.9061,duplicate,
27,2,17.9061,duplicate,
27,3,17.9061,duplicate,
27,4,17.9061,duplicate,
27,5,17.9061,duplicate,
27,6,17.9061,duplicate,
27,7,17.9061,duplicate,
27,8,17.9061,duplicate,
27,9,17.9061,duplicate,
27,10,17.9061,duplicate,
27,11,17.9061,duplicate,
27,12,17.9061,duplicate,
27,13,17.9061,duplicate,
27,14,17.9061,duplicate,
27,15,17.9061,duplicate,
27,16,17.9061,duplicate,
27,17,17.9061,duplicate,
27,18,17.9061,duplicate,
27,19,17.9061,duplicate,
27,20,17.9061,duplicate,
27,21,17.9061,duplicate,
27,22,17.9061,duplicate,
27,23,17.9061,duplicate,
27,24,80.3912
27,25,57.5514
27,26,66.26
27,27,75.8868
27,28,92.2903
27,29,46.827
27,30,69.2488
27,31,20.0571
28,0,17.9061
28,1,17.9061,duplicate,
28,2,17.9061,duplicate,
28,3,17.9061,duplicate,
28,4,17.9061,duplicate,
28,5,17.9061,duplicate,
28,6,17.9061,duplicate,
28,7,17.9061,duplicate,
28,8,17.9061,duplicate,
28,9,17.9061,duplicate,
28,10,17.9061,duplicate,
28,11,17.9061,duplicate,
28,12,17.9061,duplicate,
28,13,17.9061,duplicate,
28,14,17.9061,duplicate,
28,15,17.9061,duplicate,
28,16,17.9061,duplicate,
28,17,17.9061,duplicate,
28,18,17.9061,duplicate,
28,19,17.9061,duplicate,
28,20,17.9061,duplicate,
28,21,17.9061,duplicate,
28,22,17.9061,duplicate,
28,23,17.9061,duplicate,
28,24,64.4797
28,25,79.428
28,26,83.4719
28,27,73.1402
28,28,46.3342
28,29,61.7168
28,30,44.2086
28,31,17.9061,duplicate,
29,0,17.9061
29,1,17.9061,duplicate,
29,2,17.9061,duplicate,
29,3,17.9061,duplicate,
29,4,17.9061,duplicate,
29,5,17.9061,duplicate,
29,6,17.9061,duplicate,
29,7,17.9061,duplicate,
29,8,17.9061,duplicate,
29,9,17.9061,duplicate,
29,10,17.9061,duplicate,
29,11,17.9061,duplicate,
29,12,17.9061,duplicate,
29,13,17.9061,duplicate,
29,14,17.9061,duplicate,
29,15,17.9061,duplicate,
29,16,17.9061,duplicate,
29,17,17.9061,duplicate,
29,18,17.9061,duplicate,
29,19,17.9061,duplicate,
29,20,17.9061,duplicate,
29,21,17.9061,duplicate,
29,22,17.9061,duplicate,
29,23,17.9061,duplicate,
29,24,17.9061,duplicate,
29,25,69.8703
29,26,37.7201
29,27,91.5948
29,28,37.0048
29,29,60.9308
29,30,57.5514
29,31,101.551
30,0,17.9061
30,1,17.9061,duplicate,
30,2,17.9061,duplicate,
30,3,17.9061,duplicate,
30,4,17.9061,duplicate,
30,5,17.9061,duplicate,
30,6,17.9061,duplicate,
30,7,17.9061,duplicate,
30,8,17.9061,duplicate,
30,9,17.9061,duplicate,
30,10,17.9061,duplicate,
30,11,17.9061,duplicate,
30,12,17.9061,duplicate,
30,13,17.9061,duplicate,
30,14,17.9061,duplicate,
30,15,17.9061,duplicate,
30,16,17.9061,duplicate,
30,17,17.9061,duplicate,
30,18,17.9061,duplicate,
30,19,17.9061,duplicate,
30,20,17.9061,duplicate,
30,21,17.9061,duplicate,
30,22,17.9061,duplicate,
30,23,17.9061,duplicate,
30,24,71.7476
30,25,56.791
30,26,57.6197
30,27,16.8726
30,28,38.5578
30,29,58.8407
30,30,69.6663
30,31,95.8723
31,0,30.979
31,1,17.9061
31,2,17.9061,duplicate,
31,3,17.9061,duplicate,
31,4,17.9061,duplicate,
31,5,17.9061,duplicate,
31,6,17.9061,duplicate,
31,7,17.9061,duplicate,
31,8,16.8726
31,9,17.9061,duplicate,
31,10,17.9061,duplicate,
31,11,17.9061,duplicate,
31,12,17.9061,duplicate,
31,13,17.9061,duplicate,
31,14,17.9061,duplicate,
31,15,17.9061,duplicate,
31,16,17.9061,duplicate,
31,17,17.9061,duplicate,
